InputListSize,Get,Iterator,ForEachIterator
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,1,0,0
1100,0,0,0
1200,1,0,0
1300,1,0,0
1400,0,0,0
1500,1,0,0
1600,1,0,0
1700,1,0,0
1800,2,0,0
1900,1,0,0
2000,2,0,0
2100,1,0,0
2200,2,0,0
2300,2,0,0
2400,3,0,0
2500,2,0,0
2600,3,0,0
2700,4,0,0
2800,3,0,0
2900,4,0,0
3000,4,0,0
3100,4,0,0
3200,4,0,0
3300,5,0,0
3400,5,0,0
3500,5,0,0
3600,6,0,0
3700,6,0,0
3800,6,0,0
3900,7,0,0
4000,7,0,0
4100,8,0,0
4200,8,0,0
4300,10,0,0
4400,9,0,0
4500,10,0,0
4600,9,0,0
4700,10,0,0
4800,10,0,0
4900,10,0,0
5000,12,0,0
5100,12,0,0
5200,13,0,0
5300,13,0,0
5400,14,0,0
5500,14,0,0
5600,15,0,0
5700,15,0,0
5800,16,0,0
5900,16,0,0
6000,17,0,0
6100,17,0,0
6200,17,0,0
6300,18,0,0
6400,19,0,0
6500,19,0,0
6600,20,0,0
6700,21,0,0
6800,21,0,0
6900,25,0,0
7000,22,0,0
7100,23,0,0
7200,24,0,0
7300,24,0,0
7400,25,0,0
7500,31,0,0
7600,26,0,0
7700,27,0,0
7800,27,0,0
7900,29,0,0
8000,29,0,0
8100,30,0,0
8200,31,0,0
8300,32,0,0
8400,32,0,0
8500,33,0,0
8600,34,1,0
8700,35,0,0
8800,36,0,0
8900,37,0,0
9000,37,0,0
9100,38,0,0
9200,39,0,0
9300,40,0,0
9400,40,0,0
9500,42,0,0
9600,42,0,0
9700,43,0,0
9800,44,0,0
9900,45,0,0
10000,46,0,0
10100,47,0,0
10200,48,0,0
10300,48,0,0
10400,50,0,0
10500,50,0,0
10600,52,0,0
10700,52,0,0
10800,54,0,0
10900,55,0,0
11000,56,0,0
11100,58,0,0
11200,59,0,0
11300,59,0,0
11400,61,0,0
11500,63,0,0
11600,64,0,0
11700,82,0,0
11800,66,0,0
11900,67,0,0
12000,68,0,0
12100,70,0,0
12200,71,0,0
12300,72,0,0
12400,73,0,0
12500,75,0,0
12600,76,0,0
12700,79,0,0
12800,81,0,0
12900,82,0,0
13000,83,0,0
13100,85,0,0
13200,91,0,0
13300,89,0,0
13400,90,0,0
13500,92,0,0
13600,97,0,0
13700,116,0,0
13800,97,0,0
13900,103,0,0
14000,100,0,0
14100,102,0,0
14200,104,0,0
14300,104,0,0
14400,107,0,0
14500,108,0,0
14600,111,0,0
14700,112,0,1
14800,114,0,0
14900,116,0,0
15000,117,0,0
15100,119,0,0
15200,121,0,0
15300,123,0,0
15400,125,0,0
15500,127,0,0
15600,133,0,1
15700,135,0,0
15800,132,0,0
15900,166,0,0
16000,138,0,0
16100,138,0,0
16200,140,0,0
16300,142,0,0
16400,144,0,0
16500,146,0,0
16600,154,0,0
16700,152,0,0
16800,153,0,0
16900,155,0,0
17000,160,0,0
17100,163,0,0
17200,181,0,0
17300,162,0,0
17400,177,0,0
17500,167,0,0
17600,172,0,0
17700,171,0,0
17800,206,0,0
17900,196,0,0
18000,178,0,0
18100,187,0,0
18200,184,0,0
18300,185,0,0
18400,187,0,0
18500,188,0,0
18600,191,0,0
18700,194,0,0
18800,197,0,0
18900,200,0,0
19000,201,0,0
19100,204,0,0
19200,232,0,0
19300,210,0,0
19400,210,0,0
19500,213,0,0
19600,216,0,0
19700,218,0,0
19800,219,0,0
19900,223,0,0
