InputIndices,TestResults
0,0
100,0
200,0
300,0
400,1
500,1
600,1
700,1
800,2
900,2
1000,2
1100,2
1200,2
1300,2
1400,2
1500,3
1600,3
1700,3
1800,3
1900,4
2000,4
2100,5
2200,4
2300,5
2400,5
2500,4
2600,5
2700,5
2800,6
2900,6
3000,8
3100,6
3200,6
3300,7
3400,8
3500,7
3600,7
3700,7
3800,7
3900,7
4000,8
4100,7
4200,8
4300,8
4400,9
4500,9
4600,9
4700,9
4800,13
4900,10
5000,10
5100,10
5200,10
5300,10
5400,11
5500,11
5600,11
5700,12
5800,12
5900,13
6000,14
6100,14
6200,15
6300,16
6400,16
6500,16
6600,16
6700,17
6800,17
6900,17
7000,17
7100,18
7200,18
7300,18
7400,19
7500,19
7600,18
7700,20
7800,19
7900,19
8000,24
8100,21
8200,21
8300,24
8400,21
8500,21
8600,21
8700,22
8800,22
8900,22
9000,23
9100,23
9200,23
9300,23
9400,24
9500,24
9600,25
9700,25
9800,29
9900,25
10000,31
10100,28
10200,25
10300,25
10400,25
10500,24
10600,24
10700,24
10800,24
10900,24
11000,23
11100,23
11200,23
11300,22
11400,22
11500,22
11600,22
11700,21
11800,20
11900,21
12000,21
12100,20
12200,20
12300,20
12400,20
12500,19
12600,19
12700,19
12800,19
12900,19
13000,18
13100,18
13200,18
13300,17
13400,17
13500,17
13600,17
13700,16
13800,15
13900,15
14000,14
14100,14
14200,13
14300,12
14400,13
14500,11
14600,11
14700,10
14800,10
14900,10
15000,10
15100,10
15200,10
15300,10
15400,9
15500,9
15600,9
15700,8
15800,8
15900,8
16000,11
16100,8
16200,7
16300,7
16400,7
16500,7
16600,6
16700,7
16800,6
16900,6
17000,6
17100,6
17200,5
17300,5
17400,5
17500,5
17600,4
17700,4
17800,4
17900,4
18000,4
18100,3
18200,3
18300,3
18400,3
18500,3
18600,3
18700,2
18800,2
18900,2
19000,2
19100,2
19200,1
19300,1
19400,1
19500,1
19600,1
19700,1
19800,0
19900,0
